video_id,url,title,pinned
HBON-ooIygo,https://www.youtube.com/watch?v=HBON-ooIygo,Dynamic Programming for Interviews | Full Course,no
5mWBnYrdO70,https://www.youtube.com/watch?v=5mWBnYrdO70,Climbing Stairs | LeetCode 70 DP Explained,no
Dt6gzsNrghQ,https://www.youtube.com/watch?v=Dt6gzsNrghQ,Strings for Coding Interviews | Full Course,no
KXIK863L9tk,https://www.youtube.com/watch?v=KXIK863L9tk,Interleaving String | LeetCode 97 DP Explained,no
eeUUFDN0yyI,https://www.youtube.com/watch?v=eeUUFDN0yyI,Linked List for Interviews | Full Course + 14 Problems,no
_71ENYohRiE,https://www.youtube.com/watch?v=_71ENYohRiE,Arrays for Interviews | Full Course + 25 Problems,no
ISHUyNJVq_M,https://www.youtube.com/watch?v=ISHUyNJVq_M,Hand of Straights | LeetCode 846 Greedy Explained,no
9QqOX57nMAY,https://www.youtube.com/watch?v=9QqOX57nMAY,Target Sum | LeetCode 494 DP Explained,no
khIBdTrRggk,https://www.youtube.com/watch?v=khIBdTrRggk,Coin Change II | LeetCode 518 DP Explained,no
PH5jUN1cNHo,https://www.youtube.com/watch?v=PH5jUN1cNHo,Stock With Cooldown | LeetCode 309 DP Explained,no
g9iNrsBR9BE,https://www.youtube.com/watch?v=g9iNrsBR9BE,Longest Common Subsequence | LeetCode 1143 DP,no
X50Rknzenus,https://www.youtube.com/watch?v=X50Rknzenus,Partition Equal Subset Sum | LeetCode 416 DP,no
cGFPyhGzVY4,https://www.youtube.com/watch?v=cGFPyhGzVY4,Graph Algorithms for Coding Interviews | Full Course,no
A3LYMRqAQeU,https://www.youtube.com/watch?v=A3LYMRqAQeU,Min Cost Climbing Stairs | LeetCode 746 DP,no
AVsymWOY6fc,https://www.youtube.com/watch?v=AVsymWOY6fc,Cheapest Flights Within K Stops | LeetCode 787,no
WYHvHkh9kHQ,https://www.youtube.com/watch?v=WYHvHkh9kHQ,Swim in Rising Water | LeetCode 778 Graph Explained,no
QKRRjz4KMuE,https://www.youtube.com/watch?v=QKRRjz4KMuE,Network Delay Time | LeetCode 743 Dijkstra Explained,no
mvwrT2A4p60,https://www.youtube.com/watch?v=mvwrT2A4p60,Min Cost to Connect Points | LeetCode 1584 MST,no
1_bfI1mi6mA,https://www.youtube.com/watch?v=1_bfI1mi6mA,Reconstruct Itinerary | LeetCode 332 DFS Explained,no
ctMC5TPuVnM,https://www.youtube.com/watch?v=ctMC5TPuVnM,Redundant Connection | LeetCode 684 Union Find,no
Dy-M-Suk8nk,https://www.youtube.com/watch?v=Dy-M-Suk8nk,Max Area of Island | LeetCode 695 DFS Explained,no
wYv60DTtsto,https://www.youtube.com/watch?v=wYv60DTtsto,Walls and Gates | LeetCode 286 BFS Explained,no
1BlwbFfgk-E,https://www.youtube.com/watch?v=1BlwbFfgk-E,Rotting Oranges | LeetCode 994 BFS Explained,no
yaBaE4fo6wA,https://www.youtube.com/watch?v=yaBaE4fo6wA,Surrounded Regions | LeetCode 130 DFS Explained,no
I6f8Za0vRxE,https://www.youtube.com/watch?v=I6f8Za0vRxE,Combination Sum II | LeetCode 40 Backtracking,no
MOrMPEq6P5w,https://www.youtube.com/watch?v=MOrMPEq6P5w,N-Queens | LeetCode 51 Backtracking Explained,no
GPigeECXWZE,https://www.youtube.com/watch?v=GPigeECXWZE,Subsets II | LeetCode 90 Backtracking Explained,no
_et0UKwhozU,https://www.youtube.com/watch?v=_et0UKwhozU,Backtracking for Coding Interviews | Full Course,no
NWe3W2bMVAU,https://www.youtube.com/watch?v=NWe3W2bMVAU,Palindrome Partitioning | LeetCode 131 Backtracking,no
_tgwDDWuU-Q,https://www.youtube.com/watch?v=_tgwDDWuU-Q,Permutations | LeetCode 46 Backtracking Explained,no
OQKWzRJYtwg,https://www.youtube.com/watch?v=OQKWzRJYtwg,Subsets | LeetCode 78 Backtracking Explained,no
1G6W6erLpyU,https://www.youtube.com/watch?v=1G6W6erLpyU,TD Bank Interview Experience | Honest Tech Career Story,no
IcjlqToRGWI,https://www.youtube.com/watch?v=IcjlqToRGWI,Task Scheduler | LeetCode 621 Heap Explained,no
i7Mt70QERw4,https://www.youtube.com/watch?v=i7Mt70QERw4,Kth Largest Element in a Stream | LeetCode 703 (Easy),no
RLyF_-4Izg0,https://www.youtube.com/watch?v=RLyF_-4Izg0,K Closest Points to Origin | LeetCode 973 (Medium),no
99l7goR4y0U,https://www.youtube.com/watch?v=99l7goR4y0U,Employee Free Time | LeetCode 759 (Hard),no
h30dpA8_rsQ,https://www.youtube.com/watch?v=h30dpA8_rsQ,Heap & Priority Queue Full Course for Interviews,no
kmUL7CAOSwc,https://www.youtube.com/watch?v=kmUL7CAOSwc,Kth Largest Element in an Array | LeetCode 215 (Medium),no
xq4RoS0vVfM,https://www.youtube.com/watch?v=xq4RoS0vVfM,Last Stone Weight | LeetCode 1046 (Easy),no
esZ4vvjwW6E,https://www.youtube.com/watch?v=esZ4vvjwW6E,Design Twitter | System Design Interview Explained,no
TDjuWLwDPLQ,https://www.youtube.com/watch?v=TDjuWLwDPLQ,Binary Search Full Course for Coding Interviews,no
AiCPoU8q2sU,https://www.youtube.com/watch?v=AiCPoU8q2sU,Count Good Nodes in Binary Tree | LeetCode 1448 (Medium),no
4lMY-g0Afg8,https://www.youtube.com/watch?v=4lMY-g0Afg8,Binary Tree Right Side View | LeetCode 199,no
gu5rAEvm9Fk,https://www.youtube.com/watch?v=gu5rAEvm9Fk,Balanced Binary Tree | LeetCode 110 (Easy),no
VZCWLZ5PvKM,https://www.youtube.com/watch?v=VZCWLZ5PvKM,Find Leaves of Binary Tree | LeetCode 366,no
DpyCkHMlxLc,https://www.youtube.com/watch?v=DpyCkHMlxLc,Diameter of Binary Tree | LeetCode 543 (Easy),no
Lu3if4xOA1s,https://www.youtube.com/watch?v=Lu3if4xOA1s,Find the Duplicate Number | LeetCode 287,no
aoT-4CQUF6c,https://www.youtube.com/watch?v=aoT-4CQUF6c,How to Get IT Jobs | Career Roadmap & Resources,no
pQG3uB2G_mY,https://www.youtube.com/watch?v=pQG3uB2G_mY,Relaxing Code Art Patterns | ASMR Programming,no
kfvC6b9wA6c,https://www.youtube.com/watch?v=kfvC6b9wA6c,Mesmerizing Pygame Pattern | Satisfying Code Art,no
u08L8DaDoOU,https://www.youtube.com/watch?v=u08L8DaDoOU,Time Based Key-Value Store | LeetCode 981,no
3m3QZeiH3KI,https://www.youtube.com/watch?v=3m3QZeiH3KI,Koko Eating Bananas | LeetCode 875,no
dP4cb8zbohY,https://www.youtube.com/watch?v=dP4cb8zbohY,Search a 2D Matrix | LeetCode 74,no
t3yPHFyKxr4,https://www.youtube.com/watch?v=t3yPHFyKxr4,Binary Search Explained | Interview Pattern,no
SyDmmNQFW_I,https://www.youtube.com/watch?v=SyDmmNQFW_I,Max Stack | LeetCode 716 (Hard),no
qfySndB002U,https://www.youtube.com/watch?v=qfySndB002U,"Bouncing DVD Logo Screensaver | 11 Hours, No Loop",no
GrSL3c8G6k8,https://www.youtube.com/watch?v=GrSL3c8G6k8,Longest Valid Parentheses | LeetCode 32 (Hard),no
h9skhJ_UZQo,https://www.youtube.com/watch?v=h9skhJ_UZQo,Minimum Remove Valid Parentheses | LeetCode 1249,no
IasMlShanvc,https://www.youtube.com/watch?v=IasMlShanvc,Largest Rectangle in Histogram | LeetCode 84,no
TPSiTAFhszA,https://www.youtube.com/watch?v=TPSiTAFhszA,Car Fleet | LeetCode 853 (Medium),no
jmuo4BBfl3I,https://www.youtube.com/watch?v=jmuo4BBfl3I,Daily Temperatures | LeetCode 739,no
GIYk1wit12k,https://www.youtube.com/watch?v=GIYk1wit12k,Sliding Window Maximum | LeetCode 239 (Hard),no
vDRZN5i4b8U,https://www.youtube.com/watch?v=vDRZN5i4b8U,Evaluate Reverse Polish Notation | LeetCode 150,no
mIorIJvhl8E,https://www.youtube.com/watch?v=mIorIJvhl8E,Permutation in String | LeetCode 567,no
cAMvtRpw-4A,https://www.youtube.com/watch?v=cAMvtRpw-4A,Sora by OpenAI Explained | Text-to-Video AI,no
NeSeH2ECZUw,https://www.youtube.com/watch?v=NeSeH2ECZUw,Symmetric Tree | LeetCode 101 (Easy),no
Pf_1Ox9ud_w,https://www.youtube.com/watch?v=Pf_1Ox9ud_w,Text Justification | LeetCode 68 (Hard),no
To2iap-ac3g,https://www.youtube.com/watch?v=To2iap-ac3g,Min Stack | LeetCode 155 (Medium),no
